type,press_author,title,outlet,media_type,link,date,year
quoted_in,"Sofía Beuchat","When Politics Makes Us Sick (Cuando La Política Enferma)","El Mercurio",newspaper,"https://www.litoralpress.cl/sitio/Prensa_Texto?LPKey=LIV7PFWNN6CD7GEJFCVNVFGJEXAAKLUEIYL64CR52IYJQF7NHF6A","September 8, 2022",2022
reviewed_in,"Carlos Irwin Oronce and Yusuke Tsugawa","Bonding and linking social capital are key determinants for successful pandemic policy.","Social Science & Medicine",journal,"https://doi.org/10.1016/j.socscimed.2021.114376",,2021
quoted_in,"Marcos Cabello","Rumors during a natural disaster may facilitate greater evacuation — even when unnecessary.","The Academic Times",newspaper,"https://academictimes.com/rumors-during-a-natural-disaster-may-facilitate-greater-evacuation-even-when-unnecessary/","June 8, 2021",2021
quoted_in,"Sophie Yeo","When Climate Disaster Strikes, It's Renewable Energy That Keeps The Lights On.","Huffington Post",online_news,"https://www.huffingtonpost.co.uk/entry/renewables-clean-energy-climate-disasters_n_5fad67d1c5b6cae94043c56b","December 1, 2020",2020
op_ed,"Timothy Fraser and Daniel P. Aldrich","The Fukushima Effect at Home: New roles for local actors in Japan's energy policy.","Advanced Science News",online_news,"https://www.advancedsciencenews.com/the-fukushima-effect-at-home-new-roles-for-local-actors-in-japans-energy-policy/","June 9, 2020",2020
cited_in,,"New York City Congestion Fee Cuts Pollution by 22% in Toll Area","Bloomberg",online_news,"https://www.bloomberg.com/news/articles/2025-12-09/new-york-city-congestion-fee-cuts-pollution-by-22-in-toll-area","December 9, 2025",2025
quoted_in,"Stephen Nessen","Congestion pricing makes NYC's air a bit less filthy, study finds","Gothamist",online_news,"https://gothamist.com/news/congestion-pricing-makes-nycs-air-a-bit-less-filthy-study-fnds","December 12, 2025",2025
quoted_in,,"Congestion pricing air pollution","Newsday",newspaper,"https://www.newsday.com/long-island/environment/congestion-pricing-air-pollution-rb4vqte5?trk=feed-detail_main-feed-card_feed-article-content",,2025
cited_in,,"New York Congestion Fee Cuts Pollution 22% in Toll Area","Crain's New York",newspaper,"https://www.crainsnewyork.com/politics-policy/new-york-congestion-fee-cuts-pollution-22-toll-area",,2025
cited_in,"Pratik Pawar","Is NYC's controversial $9 toll working? The data is in.","Vox",online_news,"https://www.vox.com/future-perfect/474233/nyc-congestion-pricing-success-data-chart","January 7, 2026",2026
cited_in,,"Less Traffic, Better Transit: On Its First Anniversary, Governor Hochul Celebrates Transformational Impact of Congestion Pricing","New York Governor's Office",government,"https://www.governor.ny.gov/news/less-traffic-better-transit-its-first-anniversary-governor-hochul-celebrates-transformational",,2026
cited_in,,"Congestion Pricing: One Year Later","The New York Times",newspaper,"https://www.nytimes.com/interactive/2026/01/05/upshot/congestion-pricing-one-year.html","January 5, 2026",2026
quoted_in,"David Nutt","Congestion pricing improved air quality in NYC and suburbs","Cornell Chronicle",online_news,"https://news.cornell.edu/stories/2025/12/congestion-pricing-improved-air-quality-nyc-and-suburbs","December 8, 2025",2025
cited_in,,"Advocates Applaud News of Cleaner Air Thanks to Congestion Pricing","Earthjustice",online_news,"https://earthjustice.org/press/2025/advocates-applaud-news-of-cleaner-air-thanks-to-congestion-pricing","December 12, 2025",2025
cited_in,,"Around the Region","Highlands Current",newspaper,"https://highlandscurrent.org/2025/12/12/around-the-region-61/?utm_content=bufferaef43&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer","December 12, 2025",2025
cited_in,,"NYC congestion pricing cut air pollution, Cornell University study finds","Smart Cities Dive",online_news,"https://www.smartcitiesdive.com/news/nyc-congestion-pricing-cut-air-pollution-cornell-university/808102/","December 17, 2025",2025
cited_in,,"NYC Congestion Pricing: One Year Results","SupplyChain247",online_news,"https://www.supplychain247.com/article/nyc-congestion-pricing-one-year-results","January 2, 2026",2026
